id,country,institution,namerank,has_wiki,sitelinks,pageviews_30d,log_pv,log_sl
csrankings_srinivasan_seshan,USA,Carnegie Mellon University,0.5845,1,1,128,4.859812404361672,0.6931471805599453
csrankings_zak_kincaid,USA,Princeton University,0.4073,0,0,0,0.0,0.0
csrankings_christian_cuba_samaniego,USA,Carnegie Mellon University,0.1078,0,0,0,0.0,0.0
csrankings_steve_tanimoto,USA,University of Washington,0.6064,0,0,0,0.0,0.0
csrankings_michael_d__ernst,USA,University of Washington,0.6335,0,0,0,0.0,0.0
csrankings_jennifer_j__sun,USA,Cornell University,0.2484,0,0,0,0.0,0.0
csrankings_greg_bodwin,USA,University of Michigan,0.5168,0,0,0,0.0,0.0
csrankings_alexander_m__rush_tech,USA,Cornell University,0.6009,0,0,0,0.0,0.0
csrankings_fernando_diaz_0001,USA,Carnegie Mellon University,0.2146,0,0,0,0.0,0.0
csrankings_steven_rudich,USA,Carnegie Mellon University,0.5989,1,5,364,5.8998973535824915,1.791759469228055
csrankings_karthik_sridharan,USA,Cornell University,0.4865,0,0,0,0.0,0.0
csrankings_tapomayukh_bhattacharjee,USA,Cornell University,0.4143,0,0,0,0.0,0.0
csrankings_karl_crary,USA,Carnegie Mellon University,0.4773,0,0,0,0.0,0.0
csrankings_donald_greenberg,USA,Cornell University,0.5557,1,2,283,5.648974238161206,1.0986122886681096
csrankings_andrew_begel,USA,Carnegie Mellon University,0.4681,0,0,0,0.0,0.0
csrankings_radhika_nagpal,USA,Princeton University,0.4321,1,4,596,6.391917113392602,1.6094379124341003
csrankings_satish_narayanasamy,USA,University of Michigan,0.4876,0,0,0,0.0,0.0
csrankings_swarun_kumar,USA,Carnegie Mellon University,0.4832,0,0,0,0.0,0.0
csrankings_emma_strubell,USA,Carnegie Mellon University,0.4959,0,0,0,0.0,0.0
csrankings_adji_b__dieng,USA,Princeton University,0.4851,1,7,347,5.8522024797744745,2.0794415416798357
csrankings_jignesh_m__patel,USA,Carnegie Mellon University,0.3792,0,0,0,0.0,0.0
csrankings_amit_a__levy_0001,USA,Princeton University,0.3668,0,0,0,0.0,0.0
csrankings_virgil_d__gligor,USA,Carnegie Mellon University,0.5459,1,1,320,5.771441123130016,0.6931471805599453
csrankings_jennifer_mankoff,USA,University of Washington,0.6754,1,1,115,4.7535901911063645,0.6931471805599453
csrankings_min_xu_0009,USA,Carnegie Mellon University,0.2659,0,0,0,0.0,0.0
csrankings_chris_thachuk,USA,University of Washington,0.3552,0,0,0,0.0,0.0
csrankings_nikola_banovic_0001,USA,University of Michigan,0.4014,0,0,0,0.0,0.0
csrankings_helen_nissenbaum_tech,USA,Cornell University,0.6524,1,6,875,6.775366090936392,1.9459101490553132
csrankings_christopher_batten,USA,Cornell University,0.5708,0,0,0,0.0,0.0
csrankings_christopher_piech,USA,Stanford University,0.5982,0,0,0,0.0,0.0
csrankings_scott_e__hudson,USA,Carnegie Mellon University,0.5711,1,1,148,5.003946305945459,0.6931471805599453
csrankings_simon_peter_0001,USA,University of Washington,0.244,0,0,0,0.0,0.0
csrankings_amy_xian_zhang,USA,University of Washington,0.4241,0,0,0,0.0,0.0
csrankings_kyra_gan_tech,USA,Cornell University,0.1576,0,0,0,0.0,0.0
csrankings_martin_strauss_0001,USA,University of Michigan,0.3784,0,0,0,0.0,0.0
csrankings_ameet_talwalkar,USA,Carnegie Mellon University,0.567,0,0,0,0.0,0.0
csrankings_michael_i__shamos,USA,Carnegie Mellon University,0.5768,0,0,0,0.0,0.0
csrankings_david_lindlbauer,USA,Carnegie Mellon University,0.4878,0,0,0,0.0,0.0
csrankings_carla_gomes_0001,USA,Cornell University,0.5181,0,0,0,0.0,0.0
csrankings_tom_michael_mitchell,USA,Carnegie Mellon University,0.587,1,6,1251,7.132497551660044,1.9459101490553132
csrankings_wyatt_lloyd,USA,Princeton University,0.4443,0,0,0,0.0,0.0
csrankings_srinivasa_g__narasimhan,USA,Carnegie Mellon University,0.5662,0,0,0,0.0,0.0
csrankings_gokul_subramanian_ravi,USA,University of Michigan,0.2757,0,0,0,0.0,0.0
csrankings_ragunathan_raj_rajkumar,USA,Carnegie Mellon University,0.6054,1,1,129,4.867534450455582,0.6931471805599453
