id,title,namerank,nr_std,refusal_rate,mean_cov,mean_acc,n_models,region_group,region,country,category,start_year,start_month,peak_views,total_views,eff_duration,days_above_10,tail_daily,gold_words
event_world_chess_championship_2021,World Chess Championship 2021,0.9459459459459459,0.22612433149569605,0.0,0.0,0.0,37,Middle East & Africa,Middle East & North Africa,United Arab Emirates,sports,2021,11,56489,1180071,20.89,27,500.5,184
event_2023_sea_games,2023 SEA Games,0.9459459459459459,0.22612433149569605,0.0,0.0,0.0,37,South & Southeast Asia,Southeast Asia,Cambodia,sports,2023,5,122474,641029,5.23,6,212.1,183
event_2021_russian_protests,2021 Russian protests,0.9459459459459459,0.22612433149569605,0.0,0.0,0.0,37,Eastern Europe & Russia,Eastern Europe & Russia,Russia,civil_unrest,2021,1,35146,324508,9.23,16,186.1,180
event_acquisition_of_credit_suisse_by_ubs,Acquisition of Credit Suisse by UBS,0.9459459459459459,0.22612433149569605,0.0,0.0,0.0,37,Western Europe,Western Europe,Switzerland,business_tech,2023,3,20578,143549,6.98,10,132.3,171
event_2021_toronto_international_film_festival,2021 Toronto International Film Festival,0.9459459459459459,0.22612433149569605,0.0,0.0,0.0,37,Anglo-America & Oceania,North America,Canada,entertainment_culture,2021,9,4155,135880,32.7,63,178.2,145
event_2022_state_of_the_union_address,2022 State of the Union Address,0.9459459459459459,0.22612433149569605,0.0,0.0,0.0,37,Anglo-America & Oceania,North America,United States,politics_elections,2022,3,36776,125157,3.4,4,434.3,125
event_owo_church_attack,Owo church attack,0.9459459459459459,0.22612433149569605,0.0,0.0,0.0,37,Middle East & Africa,Sub-Saharan Africa,Nigeria,conflict_terrorism,2022,6,25204,121184,4.81,13,37.4,57
event_death_and_funeral_of_mikhail_gorbachev,Death and funeral of Mikhail Gorbachev,0.9444444444444444,0.2290614236454256,0.0,0.0,0.0,36,Eastern Europe & Russia,Eastern Europe & Russia,Russia,royalty_ceremony,2022,8,3986,58303,14.63,12,113.3,132
event_the_queen_s_platinum_jubilee_beacons,The Queen's Platinum Jubilee Beacons,0.9444444444444444,0.2290614236454256,0.0,0.0,0.0,36,Global,Global,International,royalty_ceremony,2022,6,8600,21572,2.51,5,9.6,93
event_2023_uefa_champions_league_final,2023 UEFA Champions League final,0.918918918918919,0.2729595929287048,0.02702702702702703,0.0,0.0,37,Middle East & Africa,Middle East & North Africa,Turkey,sports,2023,6,201136,1172912,5.83,5,2565.8,193
event_2021_japanese_general_election,2021 Japanese general election,0.918918918918919,0.2729595929287048,0.02702702702702703,0.0,0.0,37,East Asia,East Asia,Japan,politics_elections,2021,10,51486,538718,10.46,13,345.4,194
event_2022_belarusian_constitutional_referendum,2022 Belarusian constitutional referendum,0.918918918918919,0.2729595929287048,0.02702702702702703,0.0,0.0,37,Eastern Europe & Russia,Eastern Europe & Russia,Belarus,politics_elections,2022,2,24628,91591,3.72,4,39.4,180
event_swimming_at_the_2020_summer_olympics,Swimming at the 2020 Summer Olympics,0.918918918918919,0.2729595929287048,0.0,0.0,0.0,37,East Asia,East Asia,Japan,sports,2021,7,121725,1383196,11.36,17,582.1,92
event_2022_swedish_general_election,2022 Swedish general election,0.918918918918919,0.2729595929287048,0.0,0.0,0.0,37,Western Europe,Western Europe,Sweden,politics_elections,2022,9,154925,1184728,7.65,14,717.8,198
event_2022_israeli_legislative_election,2022 Israeli legislative election,0.918918918918919,0.2729595929287048,0.0,0.0,0.0,37,Middle East & Africa,Middle East & North Africa,Israel,politics_elections,2022,11,118410,965662,8.16,9,2141.5,193
event_2023_european_games,2023 European Games,0.918918918918919,0.2729595929287048,0.0,0.0,0.0,37,Eastern Europe & Russia,Eastern Europe & Russia,Poland,sports,2023,6,28496,410855,14.42,17,160.8,69
event_cyclone_batsirai,Cyclone Batsirai,0.918918918918919,0.2729595929287048,0.0,0.0,0.0,37,Middle East & Africa,Sub-Saharan Africa,Madagascar,natural_disaster,2022,1,15717,154914,9.86,19,55.5,194
event_nahel_merzouk_riots,Nahel Merzouk riots,0.918918918918919,0.2729595929287048,0.0,0.0,0.0,37,Western Europe,Western Europe,France,civil_unrest,2023,6,2433,74644,30.68,71,110.0,140
event_2022_southwest_airlines_scheduling_crisis,2022 Southwest Airlines scheduling crisis,0.9166666666666666,0.27638539919628335,0.05555555555555555,0.0,0.0,36,Anglo-America & Oceania,North America,United States,business_tech,2022,12,5055,32242,6.38,1,74.8,183
event_protests_against_the_imprisonment_of_pablo_has_l,Protests against the imprisonment of Pablo Hasél,0.9166666666666666,0.27638539919628335,0.027777777777777776,0.0,0.0,36,Western Europe,Western Europe,Spain,civil_unrest,2021,2,670,7018,10.47,16,5.2,159
event_mariupol_hospital_airstrike,Mariupol hospital airstrike,0.9166666666666666,0.27638539919628335,0.0,0.0,0.0,36,Eastern Europe & Russia,Eastern Europe & Russia,Ukraine,conflict_terrorism,2022,3,2621,62183,23.72,47,80.3,146
event_2021_kyrgyzstan_tajikistan_clashes,2021 Kyrgyzstan–Tajikistan clashes,0.9166666666666666,0.27638539919628335,0.0,0.0,0.0,36,South & Southeast Asia,Central Asia & Caucasus,Kyrgyzstan,conflict_terrorism,2021,4,2337,51241,21.93,49,415.0,44
event_2021_uefa_champions_league_final,2021 UEFA Champions League final,0.9166666666666666,0.27638539919628335,0.0,0.0,0.0,36,Western Europe,Western Europe,Portugal,sports,2021,5,20,1362,68.1,266,2.7,195
event_94th_academy_awards,94th Academy Awards,0.8918918918918919,0.31051689981286645,0.02702702702702703,0.0,0.0,37,Anglo-America & Oceania,North America,United States,entertainment_culture,2022,3,1254922,4217697,3.36,3,6639.5,161
event_2023_sag_aftra_strike,2023 SAG-AFTRA strike,0.8918918918918919,0.31051689981286645,0.05405405405405406,0.0,0.0,37,Anglo-America & Oceania,North America,United States,civil_unrest,2023,7,68278,1889780,27.68,119,1023.8,199
event_2023_pan_american_games,2023 Pan American Games,0.8918918918918919,0.31051689981286645,0.02702702702702703,0.0,0.0,37,Latin America,Latin America,Chile,sports,2023,10,16021,389809,24.33,46,714.1,122
event_mexico_city_metro_overpass_collapse,Mexico City Metro overpass collapse,0.8918918918918919,0.31051689981286645,0.02702702702702703,0.0,0.0,37,Latin America,Latin America,Mexico,accident_disaster,2021,5,25763,138236,5.37,9,84.9,182
event_2021_israeli_presidential_election,2021 Israeli presidential election,0.8918918918918919,0.31051689981286645,0.02702702702702703,0.0,0.0,37,Middle East & Africa,Middle East & North Africa,Israel,politics_elections,2021,6,16207,86783,5.35,7,50.5,191
event_2021_greece_wildfires,2021 Greece wildfires,0.8918918918918919,0.31051689981286645,0.02702702702702703,0.0,0.0,37,Western Europe,Western Europe,Greece,natural_disaster,2021,8,7657,82821,10.82,16,96.7,191
event_2021_maharashtra_floods,2021 Maharashtra floods,0.8918918918918919,0.31051689981286645,0.05405405405405406,0.0,0.0,37,South & Southeast Asia,South Asia,India,natural_disaster,2021,7,10598,77869,7.35,7,85.8,95
event_2023_fiba_basketball_world_cup,2023 FIBA Basketball World Cup,0.8918918918918919,0.31051689981286645,0.0,0.0,0.0,37,South & Southeast Asia,Southeast Asia,International,sports,2023,8,328639,3779428,11.5,19,2750.0,192
event_2021_london_mayoral_election,2021 London mayoral election,0.8918918918918919,0.31051689981286645,0.0,0.0,0.0,37,Western Europe,Western Europe,United Kingdom,politics_elections,2021,5,114920,1026411,8.93,15,565.8,178
event_2022_mediterranean_games,2022 Mediterranean Games,0.8918918918918919,0.31051689981286645,0.0,0.0,0.0,37,Middle East & Africa,Middle East & North Africa,Algeria,sports,2022,6,22355,282305,12.63,15,78.4,110
event_2022_peruvian_self_coup_attempt,2022 Peruvian self-coup attempt,0.8918918918918919,0.31051689981286645,0.0,0.0,0.0,37,Latin America,Latin America,Peru,politics_elections,2022,12,26013,183478,7.05,14,101.7,193
event_inauguration_of_javier_milei,Inauguration of Javier Milei,0.8888888888888888,0.3142696805273545,0.027777777777777776,0.0,0.0,36,Latin America,Latin America,Argentina,royalty_ceremony,2023,12,7777,45172,5.81,5,34.3,78
event_2022_united_kingdom_heatwaves,2022 United Kingdom heatwaves,0.8888888888888888,0.3142696805273545,0.027777777777777776,0.0,0.0,36,Western Europe,Western Europe,United Kingdom,natural_disaster,2022,6,1166,17783,15.25,19,17.8,173
event_gaza_war,Gaza war,0.8888888888888888,0.3142696805273545,0.0,0.0,0.0,36,Middle East & Africa,Middle East & North Africa,Israel,conflict_terrorism,2023,10,147,8722,59.33,259,14.8,199
event_2021_nobel_peace_prize,2021 Nobel Peace Prize,0.8648648648648649,0.3418678551533383,0.10810810810810811,0.0,0.0,37,Western Europe,Western Europe,Norway,entertainment_culture,2021,10,17466,249408,14.28,16,190.9,158
event_2021_fukushima_earthquake,2021 Fukushima earthquake,0.8648648648648649,0.3418678551533383,0.05405405405405406,0.0,0.0,37,East Asia,East Asia,Japan,natural_disaster,2021,2,10548,147830,14.01,16,218.6,196
event_creeslough_explosion,Creeslough explosion,0.8648648648648649,0.34186785515333823,0.05405405405405406,0.0,0.0,37,Western Europe,Western Europe,Ireland,accident_disaster,2022,10,12705,101428,7.98,9,88.0,49
event_2022_wimbledon_championships_men_s_singles,2022 Wimbledon Championships – Men's singles,0.8648648648648649,0.34186785515333834,0.0,0.0,0.0,37,Western Europe,Western Europe,United Kingdom,sports,2022,6,105188,1668241,15.86,24,450.3,189
