entity_id,entity_name,cohort,institution,NR_A,NR_B,delta,refusal_A,refusal_B
msra_linghe_kong_2010,Linghe Kong,msra_phd_fellowship,,0.3954,0.1017,-0.2937,0.216,0.189
msra_yu_chen_sun_2009,Yu-Chen Sun,msra_phd_fellowship,,0.293,0.0,-0.293,0.351,0.432
mid_tier_writer_karin_tidbeck,Karin Tidbeck,mid_tier_writer,,0.827,0.5362,-0.2908,0.0,0.0
imo_artsiom_toyestseu,Artsiom Toyestseu,imo_gold,,0.2978,0.0082,-0.2896,0.378,0.486
msra_yizhong_zhang_2012,Yizhong Zhang,msra_phd_fellowship,,0.2997,0.0108,-0.2889,0.324,0.378
artifact_stability_ai,Stability AI,ai_startup_or_company,,0.8314,0.5432,-0.2882,0.0,0.0
imo_andrea_bianchi,Andrea Bianchi,imo_gold,,0.3295,0.0416,-0.2879,0.324,0.486
mid_tier_filmmaker_barry_jenkins,Barry Jenkins,mid_tier_filmmaker,,0.8578,0.5703,-0.2875,0.0,0.0
csrankings_yong_li_0008,Yong Li 0008,cs_faculty,Tsinghua University,0.3446,0.0576,-0.287,0.324,0.351
msra_tiankuang_zhou_2021,Tiankuang Zhou,msra_phd_fellowship,,0.2976,0.0111,-0.2865,0.297,0.297
oa_author_dirk_andreas_zetzsche,Dirk Andreas Zetzsche,long_tail_researcher_openalex,,0.4981,0.2124,-0.2857,0.162,0.054
msra_kaizhang_kang_2021,Kaizhang Kang,msra_phd_fellowship,,0.2908,0.0054,-0.2854,0.297,0.351
mid_tier_filmmaker_cline_sciamma,Céline Sciamma,mid_tier_filmmaker,,0.8081,0.523,-0.2851,0.0,0.0
msra_haotian_li_2022,Haotian Li,msra_phd_fellowship,,0.3116,0.0273,-0.2843,0.324,0.216
msra_ki_woong_park_2008,Ki-woong Park,msra_phd_fellowship,,0.3081,0.0251,-0.283,0.378,0.378
mid_tier_writer_brit_bennett,Brit Bennett,mid_tier_writer,,0.8595,0.5776,-0.2819,0.0,0.0
artifact_lightning_ai,Lightning AI,ai_startup_or_company,,0.6862,0.4043,-0.2819,0.0,0.027
csrankings_oluwasanmi_koyejo,Oluwasanmi Koyejo,cs_faculty,Stanford University,0.5846,0.3076,-0.277,0.054,0.027
imo_rom_dudkiewicz,Rom Dudkiewicz,imo_gold,,0.2922,0.0154,-0.2768,0.405,0.405
