entity_id,entity_name,cohort,western_mean,chinese_mean,delta_chinese_minus_western,abs_delta
imo_janos_nagy,János Nagy,imo_gold,0.3091,0.2786,-0.0306,0.0306
imo_donat_nagy,Donát Nagy,imo_gold,0.4226,0.2886,-0.134,0.134
imo_vasily_mokin,Vasily Mokin,imo_gold,0.3139,0.2286,-0.0853,0.0853
imo_li_lai,Li Lai,imo_gold,0.3735,0.2857,-0.0878,0.0878
imo_jialun_li,Jialun Li,imo_gold,0.4596,0.42,-0.0396,0.0396
imo_bumsoo_kim,Bumsoo Kim,imo_gold,0.3074,0.4286,0.1212,0.1212
imo_nursultan_khadjimuratov,Nursultan Khadjimuratov,imo_gold,0.2843,0.1571,-0.1272,0.1272
imo_szymon_kanonowicz,Szymon Kanonowicz,imo_gold,0.3109,0.2593,-0.0516,0.0516
imo_junhwa_jung,Junhwa Jung,imo_gold,0.4252,0.4143,-0.0109,0.0109
imo_stefan_adrian_ivanovici,Štefan Adrian Ivanovici,imo_gold,0.2383,0.2429,0.0046,0.0046
imo_shutaro_inoue,Shutaro Inoue,imo_gold,0.293,0.2857,-0.0073,0.0073
imo_shiangchih_hua,Shiang-Chih Hua,imo_gold,0.4365,0.2136,-0.223,0.223
imo_xiaoyu_he,Xiaoyu He,imo_gold,0.3735,0.46,0.0865,0.0865
imo_benjamin_gunby,Benjamin Gunby,imo_gold,0.2913,0.3164,0.0251,0.0251
imo_luca_ghidelli,Luca Ghidelli,imo_gold,0.52,0.4057,-0.1143,0.1143
imo_jose_gustavo_garcia_sulca,José Gustavo García Sulca,imo_gold,0.3565,0.2786,-0.078,0.078
imo_mathias_bk_tejs_knudsen,Mathias Bæk Tejs Knudsen,imo_gold,0.5978,0.4786,-0.1193,0.1193
imo_radu_bumbacea,Radu Bumbăcea,imo_gold,0.4702,0.3343,-0.1359,0.1359
imo_aaron_wan_yau_chong,Aaron Wan Yau Chong,imo_gold,0.3187,0.1571,-0.1616,0.1616
imo_robin_cheng,Robin Cheng,imo_gold,0.2835,0.3143,0.0308,0.0308
imo_felix_drxler,Felix Dräxler,imo_gold,0.3926,0.3071,-0.0855,0.0855
imo_stanislav_erokhin,Stanislav Erokhin,imo_gold,0.3652,0.2271,-0.1381,0.1381
imo_george_arzeno,George Arzeno,imo_gold,0.2091,0.0286,-0.1806,0.1806
imo_ariel_zylber,Ariel Zylber,imo_gold,0.31,0.3243,0.0143,0.0143
imo_tianyou_zhou,Tianyou Zhou,imo_gold,0.4461,0.3643,-0.0818,0.0818
imo_kensuke_yoshida,Kensuke Yoshida,imo_gold,0.3391,0.2143,-0.1248,0.1248
imo_bowen_yao,Bowen Yao,imo_gold,0.4361,0.4821,0.0461,0.0461
imo_wijit_yangjit,Wijit Yangjit,imo_gold,0.2817,0.25,-0.0317,0.0317
imo_david_yang,David Yang,imo_gold,0.4848,0.5186,0.0338,0.0338
imo_mengxi_wu,Mengxi Wu,imo_gold,0.3104,0.3329,0.0224,0.0224
imo_georgios_vlachos,Georgios Vlachos,imo_gold,0.3039,0.3443,0.0404,0.0404
imo_miguel_martins_dos_santos,Miguel Martins Dos Santos,imo_gold,0.235,0.1236,-0.1114,0.1114
imo_kyrylo_myliarchyk,Kyrylo Myliarchyk,imo_gold,0.4257,0.3057,-0.1199,0.1199
imo_sung_gi_park,Sung Gi Park,imo_gold,0.43,0.3143,-0.1157,0.1157
imo_alexey_pakharev,Alexey Pakharev,imo_gold,0.3991,0.3207,-0.0784,0.0784
imo_mikhail_grigorev,Mikhail Grigorev,imo_gold,0.2348,0.16,-0.0748,0.0748
imo_zichao_long,Zichao Long,imo_gold,0.393,0.3407,-0.0523,0.0523
imo_jeck_lim,Jeck Lim,imo_gold,0.4191,0.3036,-0.1156,0.1156
imo_jun_jie_joseph_kuan,Jun Jie Joseph Kuan,imo_gold,0.4887,0.2429,-0.2458,0.2458
imo_yau_wing_li,Yau Wing Li,imo_gold,0.3622,0.2071,-0.155,0.155
imo_mitchell_lee,Mitchell Lee,imo_gold,0.413,0.4057,-0.0073,0.0073
imo_takuma_kitamura,Takuma Kitamura,imo_gold,0.3104,0.4286,0.1181,0.1181
imo_zhaorong_jin,Zhaorong Jin,imo_gold,0.2922,0.3286,0.0364,0.0364
imo_teodor_jerzak,Teodor Jerzak,imo_gold,0.3417,0.2857,-0.056,0.056
imo_lin_chen,Lin Chen,imo_gold,0.4439,0.2143,-0.2296,0.2296
imo_raul_arturo_chavez_sarmiento,Raúl Arturo Chávez Sarmiento,imo_gold,0.4522,0.5029,0.0507,0.0507
imo_jaewon_chang,Jaewon Chang,imo_gold,0.3448,0.145,-0.1998,0.1998
imo_andrew_carlotti,Andrew Carlotti,imo_gold,0.3248,0.3857,0.0609,0.0609
imo_wenyu_cao,Wenyu Cao,imo_gold,0.4126,0.35,-0.0626,0.0626
imo_filip_borowiec,Filip Borowiec,imo_gold,0.4774,0.4107,-0.0667,0.0667
imo_andrea_bianchi,Andrea Bianchi,imo_gold,0.3517,0.2929,-0.0589,0.0589
imo_jie_jun_ang,Jie Jun Ang,imo_gold,0.4043,0.2786,-0.1258,0.1258
imo_ufuk_kanat,Ufuk Kanat,imo_gold,0.4217,0.3786,-0.0432,0.0432
imo_mojtaba_shokrian_zini,Mojtaba Shokrian Zini,imo_gold,0.4404,0.2714,-0.169,0.169
imo_so_min_mun,So Min Mun,imo_gold,0.2352,0.2286,-0.0066,0.0066
