cohort,n,unconditional_nr,conditional_nr,recognition_rate,delta_cond_uncond,factor_cond_uncond
mid_tier_chef,47,0.645326049453709,0.6516009675865745,0.9907993099482462,0.006274918132865515,1.0097236399153227
named_method,73,0.5570399851906701,0.5624366650051582,0.9892632358385787,0.005396679814488103,1.009688137221677
programming_language,29,0.7794594594594593,0.7856878060326336,0.9916123019571295,0.0062283465731742815,1.0079905971985939
award,15,0.7721891891891891,0.7777668256491784,0.990990990990991,0.005577636459989321,1.0072231475628997
mid_tier_politician,103,0.355514038310155,0.3578319443341932,0.9926528470217791,0.0023179060240381966,1.0065198720001487
mid_tier_musician,64,0.6922888513513511,0.6963113389781586,0.9940878378378379,0.004022487626807458,1.0058104180342577
mid_tier_religious,30,0.48560360360360366,0.48839694105870574,0.9936936936936936,0.002793337455102074,1.0057522996830606
mid_tier_online_course,40,0.43401621621621633,0.43585227370227375,0.9952702702702704,0.0018360574860574186,1.004230389136296
database_or_data_system,30,0.773018018018018,0.7759854854854853,0.9963963963963963,0.002967467467467344,1.0038388076322926
mid_tier_artist,45,0.7744696696696697,0.7755257257257255,0.9987987987987987,0.001056056056055854,1.0013635860736887
mid_tier_historical,105,0.6220396396396395,0.622861235261235,0.997940797940798,0.0008215956215955611,1.0013208091080361
conference,30,0.610162162162162,0.6107214714714713,0.9990990990990992,0.0005593093093092527,1.0009166568233718
mid_tier_filmmaker,38,0.785703413940256,0.785703413940256,1.0,0.0,1.0
