entity_id,model_id,bt_theta,own_score,panel_nr,own_label
imo_luca_ghidelli,gpt-5.5-think,-16.059,0.6,0.4768,known
imo_nipun_pitimanaaree,gpt-5.5-think,-14.1653,0.4,0.4576,known
imo_octav_dragoi,gpt-5.5-think,-11.0611,0.6,0.4522,known
imo_shiro_imamura,gpt-5.5-think,-20.8999,0.6,0.1562,known
imo_shutaro_inoue,gpt-5.5-think,-20.9686,1.0,0.2903,known
imo_stanislav_erokhin,gpt-5.5-think,-19.226,0.6,0.313,known
imo_thomas_swayze,gpt-5.5-think,-15.4899,0.0,0.187,unknown
imo_tianyou_zhou,gpt-5.5-think,-13.9507,0.5,0.4151,known
imo_zhiwei_zheng,gpt-5.5-think,-12.7486,0.7,0.4484,known
ioi_alexey_gordeev,gpt-5.5-think,-14.0975,0.6,0.3524,known
ioi_baris_kaya,gpt-5.5-think,-16.739,0.7,0.4103,known
ioi_masaki_hara,gpt-5.5-think,-12.4046,0.6,0.2976,known
mid_founder_amanda_levenberg,gpt-5.5-think,-15.4194,0.0,0.0343,unknown
mid_founder_spencer_rascoff,gpt-5.5-think,8.984,1.0,0.433,known
mid_product_canva_product,gpt-5.5-think,12.4636,0.6,0.6038,known
mid_product_omnifocus,gpt-5.5-think,8.7153,0.7,0.7254,known
mid_product_tella,gpt-5.5-think,-10.7416,0.7,0.4782,known
mid_tier_actor_anise_boyer,gpt-5.5-think,-4.3575,0.5,0.1065,known
mid_tier_actor_boyd_holbrook,gpt-5.5-think,10.1062,1.0,0.7162,known
mid_tier_actor_jenilee_harrison,gpt-5.5-think,2.3708,0.5,0.3258,known
mid_tier_actor_ke_huy_quan,gpt-5.5-think,18.7748,1.0,0.8522,known
mid_tier_actor_park_chan_wook,gpt-5.5-think,19.4174,1.0,0.9205,known
mid_tier_actor_sebastian_stan,gpt-5.5-think,14.311,0.4,0.6003,known
mid_tier_architect_henry_john_klutho,gpt-5.5-think,1.9432,0.4,0.3566,known
mid_tier_artist_theaster_gates,gpt-5.5-think,9.2701,0.4,0.6665,known
mid_tier_artist_toyin_ojih_odutola,gpt-5.5-think,7.1285,1.0,0.7897,known
mid_tier_artist_xu_bing,gpt-5.5-think,16.0623,1.0,0.6665,known
mid_tier_athlete_aaron_holiday,gpt-5.5-think,5.3063,0.5,0.6135,known
mid_tier_athlete_adam_hadwin,gpt-5.5-think,7.928,0.5,0.7038,known
mid_tier_athlete_all_time_tennis_records__womens_singles,gpt-5.5-think,-0.9526,0.0,0.0368,unknown
mid_tier_athlete_anfernee_simons,gpt-5.5-think,8.1006,1.0,0.6927,known
mid_tier_athlete_atp_masters_1000_doubles_records_and_statistics,gpt-5.5-think,-3.1138,0.0,0.0186,unknown
mid_tier_athlete_beverly_baker_fleitz,gpt-5.5-think,-1.6853,0.4,0.2749,known
mid_tier_athlete_brandon_nakashima,gpt-5.5-think,6.8708,0.5,0.5127,known
