entity_id,entity_name,cohort,tier,control,noi_score,noi_rank,gold_words,gold_sources,n_models,namerank,namerank_sd,refusal_rate
noi_b_hou_jiaxu_2009,Hou Jiaxu (侯佳旭),noi_china_bronze,bronze,False,190,83,97,4,36,0.11333333333333333,0.2357493961344923,0.6944444444444444
noi_b_cai_ning_2009,Cai Ning (蔡凝),noi_china_bronze,bronze,False,202,78,73,7,36,0.11305555555555555,0.22639468295243992,0.5833333333333334
noi_he_pufan_2009,He Pufan (何朴藩),noi_china_gold,gold,False,366,20,109,2,36,0.10527777777777778,0.1593996743184863,0.4722222222222222
noi_s_liu_yining_2009,Liu Yining (刘艺宁),noi_china_silver,silver,False,348,22,77,2,36,0.09999999999999999,0.2007485989988473,0.6944444444444444
noi_b_xing_jianan_2009,Xing Jianan (邢佳楠),noi_china_bronze,bronze,False,184,89,113,4,36,0.09638888888888889,0.17394368146324735,0.6111111111111112
noi_s_li_peiqian_2009,Li Peiqian (李佩谦),noi_china_silver,silver,False,270,53,117,6,36,0.09583333333333334,0.16002386974726268,0.6111111111111112
noi_b_yan_lifeng_2009,Yan Lifeng (颜立峰),noi_china_bronze,bronze,False,167,100,105,4,36,0.09583333333333333,0.21256861637284716,0.6944444444444444
noi_s_yang_huan_2009,Yang Huan (杨欢),noi_china_silver,silver,False,335,31,92,4,36,0.09361111111111112,0.16578353989092354,0.6111111111111112
noi_b_zhang_xue_2009,Zhang Xue (张雪),noi_china_bronze,bronze,False,250,57,81,2,36,0.09166666666666667,0.177035777928267,0.6666666666666666
noi_s_wei_ming_2009,Wei Ming (魏铭),noi_china_silver,silver,False,336,28,102,3,36,0.0913888888888889,0.15328174454212265,0.5277777777777778
noi_zhang_fang_2009,Zhang Fang (张放),noi_china_gold,gold,False,378,12,137,5,36,0.08722222222222223,0.11420281936369735,0.3888888888888889
noi_s_ni_jinan_2009,Ni Jinan (倪际楠),noi_china_silver,silver,False,344,25,115,2,36,0.08472222222222223,0.1442699266250422,0.5277777777777778
noi_b_wang_enze_2009,Wang Enze (王恩泽),noi_china_bronze,bronze,False,250,57,114,1,36,0.08444444444444445,0.15875285552015267,0.6111111111111112
noi_b_he_boshuo_2009,He Boshuo (何博硕),noi_china_bronze,bronze,False,202,78,124,8,36,0.08444444444444445,0.1625738198898588,0.5277777777777778
noi_b_cheng_longju_2009,Cheng Longju (程龙举),noi_china_bronze,bronze,False,260,55,122,4,36,0.08222222222222222,0.15830896498638897,0.6111111111111112
noi_b_zhao_zhiheng_2009,Zhao Zhiheng (赵志恒),noi_china_bronze,bronze,False,168,99,117,7,36,0.08222222222222222,0.1557617680788894,0.6111111111111112
noi_b_ye_dan_2009,Ye Dan (叶丹),noi_china_bronze,bronze,False,241,61,83,3,36,0.0813888888888889,0.14933468708050418,0.5833333333333334
