imo_entity_id,imo_gold_chars,imo_namerank,partner_entity_id,partner_gold_chars,partner_namerank,delta_chars,delta_namerank_imo_minus_partner,match_kind
imo_makoto_soejima,367,0.4543,cmo_li_fu_2010,372,0.193,-5,0.2613,IMO_vs_CMO_tol_50chars
imo_miguel_martins_dos_santos,387,0.1928,cmo_du_yukun_2012,387,0.3527,0,-0.15990000000000001,IMO_vs_CMO_tol_50chars
imo_sampson_wong,369,0.387,cmo_su_jun_2010,373,0.2535,-4,0.1335,IMO_vs_CMO_tol_50chars
imo_panagiotis_lolas,370,0.4259,cmo_yu_lun_2010,373,0.2414,-3,0.1845,IMO_vs_CMO_tol_50chars
imo_jaewon_chang,371,0.2692,cmo_ma_rui_2010,373,0.2327,-2,0.036500000000000005,IMO_vs_CMO_tol_50chars
imo_james_aaronson,376,0.3028,cmo_lin_yilu_2010,376,0.1924,0,0.11040000000000003,IMO_vs_CMO_tol_50chars
imo_vladimir_bragin,369,0.3608,cmo_wei_wei_2010,374,0.2108,-5,0.15000000000000002,IMO_vs_CMO_tol_50chars
imo_min_zhang,362,0.3084,cmo_chen_ze_2010,377,0.2503,-15,0.058099999999999985,IMO_vs_CMO_tol_50chars
imo_jongwon_lee,364,0.4178,cmo_su_yang_2010,377,0.3008,-13,0.11699999999999999,IMO_vs_CMO_tol_50chars
imo_motoki_takigiku,368,0.2811,cmo_lei_lihua_2010,378,0.2784,-10,0.0027000000000000357,IMO_vs_CMO_tol_50chars
imo_stanislav_erokhin,371,0.313,cmo_zeng_liwei_2010,378,0.3211,-7,-0.008099999999999996,IMO_vs_CMO_tol_50chars
imo_nipun_pitimanaaree,392,0.4576,cmo_liang_zhehui_2012,392,0.3978,0,0.05980000000000002,IMO_vs_CMO_tol_50chars
imo_chao_gu,360,0.3954,cmo_lin_weinan_2010,378,0.2349,-18,0.16049999999999998,IMO_vs_CMO_tol_50chars
imo_anh_dc_v,365,0.4349,cmo_yu_xuelu_2010,378,0.1892,-13,0.2457,IMO_vs_CMO_tol_50chars
imo_turbat_enkhbayar,372,0.2919,cmo_wang_weili_2010,378,0.2378,-6,0.05409999999999998,IMO_vs_CMO_tol_50chars
imo_aliaksei_semchankau,374,0.5124,cmo_gao_weihao_2010,378,0.2845,-4,0.2279,IMO_vs_CMO_tol_50chars
imo_wenyu_cao,360,0.3889,cmo_lin_huilin_2010,379,0.263,-19,0.1259,IMO_vs_CMO_tol_50chars
imo_mark_sellke,362,0.6349,cmo_wang_weinan_2010,379,0.3257,-17,0.30920000000000003,IMO_vs_CMO_tol_50chars
imo_donat_nagy,365,0.3719,cmo_xiao_yikang_2010,379,0.3516,-14,0.020299999999999985,IMO_vs_CMO_tol_50chars
