cohort,n,mean_gold_chars,mean_gold_named_facts,raw_mean_namerank,fe_vs_openalex_baseline,adjusted_mean_namerank_fe,adjusted_mean_namerank_oa_slope,shift_fe,shift_oa_slope
mid_tier_founder,48,285.0208333333333,2.0416666666666665,0.5264333333333333,-0.3971737100348457,0.06671241188473925,1.1706197924430992,-0.45972092144859406,0.6441864591097659
mid_tier_actor,123,518.9430894308944,1.991869918699187,0.5359552845528454,-0.12516183900497221,0.33872428291461276,0.82682598413538,-0.1972310016382326,0.29087069958253464
named_method,73,290.26027397260276,0.410958904109589,0.5570410958904108,-0.3316029183479594,0.13228320357162554,1.1806625432319966,-0.4247578923187853,0.6236214473415858
industry_product,9,243.22222222222223,1.3333333333333333,0.5897333333333333,-0.36797636205677664,0.09590975986280831,1.2914841021355332,-0.493823573470525,0.7017507688021999
mid_tier_medical,44,449.79545454545456,2.3636363636363638,0.6030863636363637,-0.14199531616971933,0.3218908057498656,1.0011694647279226,-0.2811955578864981,0.39808310109155887
mid_tier_product,88,395.65909090909093,0.42045454545454547,0.6031704545454546,-0.16777286341965197,0.296113258499933,1.0678456260515785,-0.3070571960455216,0.4646751715061239
putnam_fellow,35,506.1142857142857,5.6571428571428575,0.6076085714285715,-0.1332703276531232,0.33061579426646176,0.9462900838485464,-0.27699277716210974,0.3386815124199749
conference,30,207.73333333333332,1.7666666666666666,0.61016,-0.39497162217443144,0.06891449974515351,1.3688186629108494,-0.5412455002548465,0.7586586629108494
icpc_world_finals_gold,18,393.6111111111111,5.0,0.6104111111111111,-0.24455475326104845,0.2193313686585365,1.11372954653021,-0.3910797424525746,0.5033184354190988
mid_tier_historical,105,458.9904761904762,1.980952380952381,0.6220380952380952,-0.10593070670171324,0.3579554152178717,1.003277274410122,-0.26408268002022345,0.38123917917202677
research_paper,298,319.3523489932886,0.43288590604026844,0.6253140939597316,-0.23118685216589582,0.23269926975368913,1.205213233415989,-0.39261482420604243,0.5798991394562575
mid_tier_comedian,46,457.82608695652175,2.5217391304347827,0.6319369565217391,-0.10698556134785314,0.3569005605717318,1.0191313104200792,-0.2750363959500073,0.3871943538983401
ai_startup_or_company,102,164.2549019607843,0.5294117647058824,0.6383617647058825,-0.3933113058064672,0.07057481611311772,1.4530128665308344,-0.5677869485927647,0.8146511018249519
mid_tier_chef,47,450.2340425531915,2.0638297872340425,0.6453276595744681,-0.09391281675893512,0.36997330516064986,1.0404214892144685,-0.2753543544138183,0.3950938296400004
mid_tier_musician,64,423.71875,1.828125,0.692290625,-0.07239589526762413,0.3914902266519608,1.1255593857772326,-0.30080039834803923,0.43326876077723253
dataset,45,192.88888888888889,1.0444444444444445,0.7254866666666667,-0.28335620175702103,0.18052992016256392,1.5009348337750037,-0.5449567465041028,0.775448167108337
ai_hardware,20,154.65,1.1,0.7299500000000001,-0.3226478998808199,0.14123822203876507,1.5635222268899125,-0.588711777961235,0.8335722268899124
benchmark,47,199.4468085106383,0.3617021276595745,0.7466765957446809,-0.24264732024433844,0.2212388016752465,1.5069300485861599,-0.5254377940694344,0.7602534528414789
award,15,224.33333333333334,1.1333333333333333,0.7721866666666668,-0.20307750406956349,0.26080861785002146,1.500883258817228,-0.5113780488166453,0.7286965921505613
database_or_data_system,30,176.66666666666666,0.16666666666666666,0.7730166666666668,-0.23830201474294738,0.22558410717663757,1.566125395701769,-0.5474325594900292,0.7931087290351021
mid_tier_artist,45,420.44444444444446,2.0,0.7744688888888888,0.0030531356935211695,0.4669392576131061,1.2140120982378177,-0.30752963127578264,0.439543209348929
programming_language,29,189.41379310344828,0.034482758620689655,0.7794620689655172,-0.21524206030581827,0.24864406161376668,1.552312415639671,-0.5308180073517506,0.7728503466741539
mid_tier_filmmaker,38,459.57894736842104,2.1578947368421053,0.785707894736842,0.05523926264559198,0.5191253845651769,1.167432915804228,-0.2665825101716651,0.38172502106738604
mid_tier_gov_ai_policy,42,352.6904761904762,2.6904761904761907,0.8030761904761903,-0.05643363502003468,0.40745248689955027,1.3502034218565826,-0.39562370357664,0.5471272313803923
